from_id,to_id,from_infra,to_infra,distance,length,geometry,v_sea_flow,q_sea_flow
maritime7506,maritime7510,maritime,maritime,122.50007433202043,1.3960416955841706,"LINESTRING (-125.1939011 40.7580719, -124.7749023 39.4263916)",3686457.506647989,3959.9556698632186
maritime7510,maritime7525,maritime,maritime,66.21365639555383,0.7906783564613176,"LINESTRING (-125.199707 41.54872894, -125.1939011 40.7580719)",3686457.506647989,3959.9556698632186
maritime7533,maritime7518,maritime,maritime,7.573149851823586,0.07450162880332865,"LINESTRING (-124.0809174 46.25931168, -124.1424103 46.21725082)",3686457.506647989,3959.9556698632186
maritime7525,maritime7526,maritime,maritime,14.860879230862146,0.1787652351406246,"LINESTRING (-125.19841 41.72748947, -125.199707 41.54872894)",3686457.506647989,3959.9556698632186
maritime7526,maritime7531,maritime,maritime,22.31499964903142,0.26936147232662727,"LINESTRING (-125.197403 41.99684906, -125.19841 41.72748947)",3686457.506647989,3959.9556698632186
maritime7550,maritime7533,maritime,maritime,102.52414656109596,0.9209901638136436,"LINESTRING (-124.1424103 46.21725082, -125.0634003 46.21670151)",3686457.506647989,3959.9556698632186
maritime7560,maritime7589,maritime,maritime,24.96379664607137,0.2587289355575832,"LINESTRING (-122.0005112 35.36159134, -121.8686066 35.13901138)",3686457.506647989,3959.9556698632186
maritime7531,maritime7534,maritime,maritime,36.345440564695224,0.4228020739431917,"LINESTRING (-125.3355026 42.39646149, -125.197403 41.99684906)",3686457.506647989,3959.9556698632186
maritime7534,maritime7536,maritime,maritime,19.224739011988763,0.2246946031520098,"LINESTRING (-125.4082031 42.60906982, -125.3355026 42.39646149)",3686457.506647989,3959.9556698632186
maritime7536,maritime7537,maritime,maritime,11.771029657559868,0.13799866985341364,"LINESTRING (-125.4524002 42.7397995, -125.4082031 42.60906982)",3686457.506647989,3959.9556698632186
maritime7537,maritime7538,maritime,maritime,10.616774813066817,0.11632397750597838,"LINESTRING (-125.5150986 42.83778, -125.4524002 42.7397995)",3686457.506647989,3959.9556698632186
maritime7538,maritime7539,maritime,maritime,28.051242778954006,0.32799367132380447,"LINESTRING (-125.4016037 43.14551163, -125.5150986 42.83778)",3686457.506647989,3959.9556698632186
maritime7539,maritime7540,maritime,maritime,20.363685627299056,0.2392465328035125,"LINESTRING (-125.3199997 43.37041092, -125.4016037 43.14551163)",3686457.506647989,3959.9556698632186
maritime7540,maritime7543,maritime,maritime,25.117084819669426,0.303425472372875,"LINESTRING (-125.2469864 43.66492081, -125.3199997 43.37041092)",3686457.506647989,3959.9556698632186
maritime7543,maritime7547,maritime,maritime,29.27601381166917,0.3554681103894815,"LINESTRING (-125.1620865 44.01010132, -125.2469864 43.66492081)",3686457.506647989,3959.9556698632186
maritime7547,maritime7548,maritime,maritime,47.25212282277482,0.5906544886506482,"LINESTRING (-125.1054077 44.59803009, -125.1620865 44.01010132)",3686457.506647989,3959.9556698632186
maritime7548,maritime7568,maritime,maritime,16.255270502197234,0.20523435969313553,"LINESTRING (-125.0958023 44.80303955, -125.1054077 44.59803009)",3686457.506647989,3959.9556698632186
maritime7568,maritime7572,maritime,maritime,9.605798499074584,0.12040800310512081,"LINESTRING (-125.077713 44.92208099, -125.0958023 44.80303955)",3686457.506647989,3959.9556698632186
maritime7572,maritime7576,maritime,maritime,50.515951350706125,0.6375506024865119,"LINESTRING (-124.9847031 45.55281067, -125.077713 44.92208099)",3686457.506647989,3959.9556698632186
maritime7576,maritime7580,maritime,maritime,7.675999404058628,0.09793693788916058,"LINESTRING (-124.9953995 45.65016174, -124.9847031 45.55281067)",3686457.506647989,3959.9556698632186
maritime7591,maritime7584,maritime,maritime,13.849264076402127,0.14658630779335455,"LINESTRING (-123.1281128 36.93146896, -123.0580902 36.8026886)",3686457.506647989,3959.9556698632186
maritime7589,maritime7593,maritime,maritime,8.621195975980708,0.08938745937946015,"LINESTRING (-122.0463867 35.43830872, -122.0005112 35.36159134)",3686457.506647989,3959.9556698632186
maritime7508,maritime7591,maritime,maritime,18.26061611084647,0.19313853486536142,"LINESTRING (-123.0580902 36.8026886, -122.9663086 36.63275146)",3686457.506647989,3959.9556698632186
maritime7647,maritime7646,maritime,maritime,0.37792848690268305,0.003575344021388437,"LINESTRING (-97.37931824 27.84189987, -97.37664032 27.83953094)",930.610596758889,0.9968771335435213
maritime5972,maritime7662,maritime,maritime,18.2795972274469,0.17625703524009737,"LINESTRING (-93.95774841 29.81565094, -93.83630371 29.68791008)",135013947.72208464,317924.7487856678
maritime7662,maritime7663,maritime,maritime,0.9364352448946065,0.009528775494540247,"LINESTRING (-93.96112823 29.82456017, -93.95774841 29.81565094)",135013947.72208464,317924.7487856678
