id,infra,name,iso3,Continent_Code,geometry,canal_main,v_out,q_out,v_in,q_in,v_total,q_total
port664,port,Los Angeles_U.S.A.,USA,NA,POINT (-118.24378813374709 33.755691934355504),Panama,12591942749.080645,8140500.585070401,17561980378.269604,16836324.024455953,30153923127.35025,24976824.609526355
port736,port,Miami_U.S.A.,USA,NA,POINT (-80.18326590234456 25.778217283839663),Panama,5242869883.0802555,8309628.122458886,2013318744.6933608,1631103.5536367577,7256188627.773617,9940731.676095644
port754,port,Mobile_U.S.A.,USA,NA,POINT (-88.06673452149629 30.665036378630738),Panama,1988805571.145745,3552503.1197274923,8454982960.481802,3005201.3705245387,10443788531.627546,6557704.490252031
port767,port,Morehead City_U.S.A.,USA,NA,POINT (-76.69601781314203 34.71782416155222),Panama,22497612.186114732,31107.67749591593,49670403.59298184,36548.00841449767,72168015.77909657,67655.6859104136
port809,port,New Haven_U.S.A.,USA,NA,POINT (-72.89315048967335 41.27574662136436),Panama,222234.43403789683,685.5722954961586,165086513.63736704,374747.0140721792,165308748.07140493,375432.5863676754
port812,port,New Orleans_U.S.A.,USA,NA,POINT (-90.13086771623864 29.93003342524773),Panama,9814826603.915617,17682277.944154367,7908328761.772065,6508023.443419258,17723155365.687683,24190301.387573626
port815,port,New York-New Jersey_U.S.A.,USA,NA,POINT (-74.17942126290532 40.63298387254996),Panama,14325517292.515442,15478876.574539797,36407927645.72143,12699657.120494831,50733444938.23687,28178533.69503463
port818,port,Newport News_U.S.A.,USA,NA,POINT (-76.43537097591263 36.98386610273203),Panama,1042496.764772581,5950.198227804318,436781306.9253905,57577.1032405468,437823803.6901631,63527.301468351114
port826,port,Norfolk_U.S.A.,USA,NA,POINT (-76.33049227804739 36.849627484186534),Panama,3067556077.5054784,4738381.771923021,111611941.35722958,74118.99163071999,3179168018.862708,4812500.763553741
port839,port,Oakland_U.S.A.,USA,NA,POINT (-122.30889416573957 37.808163660245064),Panama,11566662775.993717,8911700.30215199,759288027.9624373,1159325.0793753923,12325950803.956154,10071025.381527381
port876,port,Palm Beach_U.S.A.,USA,NA,POINT (-80.05581496660578 26.768017133014553),Panama,100987324.68671507,109342.54634793231,32154670.13123766,25587.37220324962,133141994.81795272,134929.91855118194
port888,port,Pascagoula_U.S.A.,USA,NA,POINT (-88.52197837353293 30.34688292732757),Panama,1372667755.5631342,1994915.5681992194,220375111.05743426,407671.8773685772,1593042866.6205685,2402587.4455677965
port901,port,Philadelphia_U.S.A.,USA,NA,POINT (-75.13753909832485 39.90437716815828),Panama,579207020.0556152,547799.6972707389,2420429798.7430973,2706838.722376083,2999636818.7987127,3254638.419646822
port920,port,Point Richmond_U.S.A.,USA,NA,POINT (-122.37709303393753 37.92353428166407),Panama,33172736.407564435,73837.8457970098,442014005.3163717,263663.7371942112,475186741.72393614,337501.582991221
port933,port,Port Arthur_U.S.A.,USA,NA,POINT (-93.93104817994141 29.881703011597338),Panama,2002517536.636503,3289504.3880723193,915895586.4727318,1497405.8673365677,2918413123.109235,4786910.255408887
port951,port,Port Everglades_U.S.A.,USA,NA,POINT (-80.12439561489067 26.081050903250397),Panama,1861439238.5061362,562180.9674080267,1179929194.7672052,726210.8827655861,3041368433.273341,1288391.8501736128
port956,port,Port Hueneme_U.S.A.,USA,NA,POINT (-119.20944514707523 34.156052492218954),Panama,49221208.30088074,241334.07571006764,1440850774.336895,2232489.797801262,1490071982.6377757,2473823.8735113293
port963,port,Port Lavaca_U.S.A.,USA,NA,POINT (-96.54433241631918 28.675573401743023),Panama,230361695.719132,225771.12279947218,65391600.69014201,37717.80917736067,295753296.40927404,263488.93197683286
port967,port,Port Manatee_U.S.A.,USA,NA,POINT (-82.55715768498631 27.63344968924283),Panama,38017383.83311689,26527.57718430596,196350098.82939753,145780.25923632507,234367482.66251442,172307.83642063104
port993,port,Portland_U.S.A.,USA,NA,POINT (-122.73550592391067 45.59523874007099),Panama,242515920.0264294,326623.5938147086,18472078.766604412,48051.82854313117,260987998.79303384,374675.42235783977
port996,port,Portmouth_U.S.A.,USA,NA,POINT (-70.78807026991318 43.093030640754236),Panama,1874658.5439752194,1616.3104923319627,115443409.55196635,78857.31105790523,117318068.09594157,80473.62155023719
port1021,port,Prince Rupert_U.S.A.,USA,NA,POINT (-130.33775976075003 54.26668285438812),Panama,19610994.948154397,25657.299541809312,14968323.051953027,31046.252818115583,34579318.00010742,56703.5523599249
port1024,port,Providence_U.S.A.,USA,NA,POINT (-71.38334181109599 41.786241390258816),Panama,3140.9768362506725,1.194446985547378,190943096.89192072,111527.40103644837,190946237.86875698,111528.59548343392
port1140,port,San Diego_U.S.A.,USA,NA,POINT (-117.14717715425051 32.68538624504669),Panama,88578344.01453264,278554.08797902433,481707545.89725137,1139402.2297455026,570285889.911784,1417956.3177245269
