from_id,to_id,from_infra,to_infra,distance,length,geometry,v_sea_flow,q_sea_flow
port1415,maritime4127,port,maritime,225.4097410011868,2.027344711653013,"LINESTRING (122.04297058358812 40.72688954339104, 121.9999771 38.70000076)",57780859.98201753,33595.14281607444
port1416,maritime11888,port,maritime,68.09843297900953,0.6564731268431279,"LINESTRING (136.65630831194952 34.97134904117626, 137.0714172048503 34.462780881239084)",165175.55937164385,38.39562657289071
port1417,maritime3678,port,maritime,58.16206562261052,0.56464498122304,"LINESTRING (139.6688122927324 35.427555533441485, 139.3000031 35)",13223481718.545626,2744877.7063400364
port1418,maritime3678,port,maritime,48.031367529367834,0.47753614527131244,"LINESTRING (139.6535592154108 35.32099664063071, 139.3000031 35)",1811062275.077959,122280.18696214643
port1424,maritime2217,port,maritime,23.296551048027332,0.25580905674887966,"LINESTRING (3.212225359193582 51.32626774343623, 3.400000095 51.49998856)",1811682974.9993882,208043.18072549909
port1425,maritime657,port,maritime,248.2229819318624,2.5212483913672346,"LINESTRING (120.42881024260733 31.974623560988285, 122.6775513 30.8345108)",82744497.61132787,33305.36491329972
port1426,maritime3493,port,maritime,133.1687719957041,1.243450566152904,"LINESTRING (110.40841034362165 21.212127953284217, 111.3500137 20.39999962)",14408193.570414433,4607.541054617062
port1427,maritime657,port,maritime,146.9897235524364,1.5334557274291745,"LINESTRING (121.1568834958411 30.636885150399866, 122.6775513 30.8345108)",77204.34014735802,16.879372934381408
port1428,maritime4127,port,maritime,136.91628251542107,1.3556419584454849,"LINESTRING (121.08299324770849 37.7015490915981, 121.9999771 38.70000076)",22508706.745668434,1642.6933512142984
port1429,maritime657,port,maritime,102.68090763061666,0.9685728223583945,"LINESTRING (122.10083683209919 30.056350318656218, 122.6775513 30.8345108)",19569685.03695547,11087.862666504254
port143,maritime5084,port,maritime,1.740099072468748,0.015652200158067852,"LINESTRING (-122.50025501330771 48.75638842190907, -122.4998398 48.74074173)",71584096.33332472,474635.3790529487
port144,maritime5306,port,maritime,1.8434874348941308,0.016789801165400665,"LINESTRING (-122.13192177950889 38.052037097690985, -122.1276169 38.03580856)",665009925.554096,2025690.2625906053
port149,maritime3603,port,maritime,320.206853738593,2.8806828419647306,"LINESTRING (113.0774259511892 3.2710235494794713, 114.0000229 5.999969959)",350715.2062398241,200.97410203044703
port151,maritime3467,port,maritime,44.7741826707809,0.40273290333840606,"LINESTRING (125.17686848697423 1.440344333251906, 125.5 1.199970007)",7455658.947780547,3522.2107079686366
