id,name,iso3,geometry,lat,lon,export,import,trans,throughput
port642,Les Sables D' Olonne_France,FRA,POINT (-1.7916105329675354 46.49899037347278),46.49899037347278,-1.7916105329675354,91026798.3226187,51401213.14833239,20604034.158627883,163032045.62957895
port544,Karaikal Port_India,IND,POINT (79.84255846567146 10.840533690848298),10.840533690848298,79.84255846567146,90935573.2742662,1725752403.196593,0.0,1816687976.4708593
port1235,Sundsvall_Sweden,SWE,POINT (17.374829899065812 62.39638002811131),62.39638002811131,17.374829899065812,90424927.17490529,126086262.36625773,45583894.698292725,262095084.23945576
port419,Grenaa Havn_Denmark,DNK,POINT (10.927040289647609 56.41625528657163),56.41625528657163,10.927040289647609,90393540.96128088,66316256.199928,73780.43846020139,156783577.59966907
port1007,Porto Di Oristano_Italy,ITA,POINT (8.56015343208413 39.86415189908233),39.86415189908233,8.56015343208413,88088952.73182154,495576471.52114516,12478.624414606871,583677902.8773812
port511,JSW Jaigad Port Limited_India,IND,POINT (73.21867271732341 17.29523508561033),17.29523508561033,73.21867271732341,86886450.57151586,1501548692.4383192,0.0,1588435143.009835
port861,Ortona_Italy,ITA,POINT (14.41338054175385 42.35331653335876),42.35331653335876,14.41338054175385,85800684.07892951,276451530.21419054,174974498.33671486,537226712.6298349
port819,Nghe Tinh_Vietnam,VNM,POINT (105.76227497209729 19.215246560254215),19.215246560254215,105.76227497209729,85710823.89196761,119400962.4732913,0.0,205111786.3652589
port475,Honiara_Solomon Islands,SLB,POINT (159.99464401126752 -9.422319397144275),-9.422319397144275,159.99464401126752,84848883.3905179,282505151.2320945,128078297.13629903,495432331.75891143
port457,Haydarpasa_Turkey,TUR,POINT (29.015400419468733 41.00022011447736),41.00022011447736,29.015400419468733,84793687.50795142,128386982.11060798,821184734.5722165,1034365404.1907759
port26,Al Ladhiqiyah_Syria,SYR,POINT (35.77044913528247 35.5235996489828),35.5235996489828,35.77044913528247,83912240.04690823,2198605707.6687055,219146440.7430646,2501664388.4586782
port1372,Voh_New Caledonia,NCL,POINT (164.68299075341687 -21.01103527375901),-21.01103527375901,164.68299075341687,83612274.03093173,27543267.120188512,0.0,111155541.15112025
port445,Hamada Ko_Japan,JPN,POINT (132.05173556642626 34.87940375404148),34.87940375404148,132.05173556642626,83399469.99384743,1191080832.2753663,888.0766591935655,1274481190.3458729
port1205,Skelleftehamn_Sweden,SWE,POINT (21.26605931682046 64.67469282678354),64.67469282678354,21.26605931682046,82777364.02664277,107059263.94060288,14301.222091569482,189850929.1893372
port1014,Portsmouth Harbour_United Kingdom,GBR,POINT (-1.1074230764343758 50.80555434393918),50.80555434393918,-1.1074230764343758,81934319.58481987,893950359.5814855,95948243.69664279,1071832922.8629482
port150,Bissau_Guinea-Bissau,GNB,POINT (-15.576180497537527 11.859972141108239),11.859972141108239,-15.576180497537527,81181782.54541807,106807535.09426497,1812630.2419031525,189801947.8815862
port730,Menominee_U.S.A.,USA,POINT (-87.60249551658818 45.096776045609424),45.096776045609424,-87.60249551658818,81054249.1312286,0.0,0.0,81054249.1312286
port482,Hua-Lien Kang_Taiwan,TWN,POINT (121.62789772366361 23.982110487225334),23.982110487225334,121.62789772366361,80976190.24836947,41345795.01353359,0.0,122321985.26190306
port1109,Rosarito_Mexico,MEX,POINT (-117.07002938714996 32.37533608096319),32.37533608096319,-117.07002938714996,80462730.70211561,455172136.124211,94452839.64246733,630087706.468794
port519,Jiddah Oil_Saudi Arabia,SAU,POINT (39.54249452361609 20.652582960131145),20.652582960131145,39.54249452361609,80421424.86920114,517800350.6022241,0.0,598221775.4714253
port1190,Shibushi Wan_Japan,JPN,POINT (131.06709934652724 31.423272872802386),31.423272872802386,131.06709934652724,79999888.22209212,3270171969.239262,31567412.4668016,3381739269.928156
port1051,Puerto Miranda_Venezuela,VEN,POINT (-71.53725434150532 10.764386247488666),10.764386247488666,-71.53725434150532,79814063.57585403,40797389.35734196,15081022.284396764,135692475.21759275
port724,Mbulo_Solomon Islands,SLB,POINT (160.6376963941101 -9.6434383429459),-9.6434383429459,160.6376963941101,79614081.80106658,7440318.821651728,0.0,87054400.6227183
port719,Matsusaka_Japan,JPN,POINT (136.55034687401505 34.649207008105556),34.649207008105556,136.55034687401505,78875766.05179727,143566714.89358106,531061.3460638582,222973542.2914422
port858,Ormoc_Philippines,PHL,POINT (124.60254044656217 11.006056565557657),11.006056565557657,124.60254044656217,77599144.57471167,380906139.11983126,0.0,458505283.69454294
port217,Cardiff_United Kingdom,GBR,POINT (-3.1541298941121587 51.46428974717733),51.46428974717733,-3.1541298941121587,77542194.50620706,366958764.85114783,25271328.648392085,469772288.00574696
port860,Oro Bay_Papua New Guinea,PNG,POINT (148.49398323931172 -8.897889321556864),-8.897889321556864,148.49398323931172,75785956.91548449,25213069.416595653,21606084.740201138,122605111.07228127
port554,Kavkaz Oil Terminal_Russia,RUS,POINT (36.66778575916095 45.33614507714142),45.33614507714142,36.66778575916095,74997896.98191287,102592982.93031716,44482120.252655596,222073000.1648856
port27,Al Mukalla_Yemen,YEM,POINT (49.151230188282405 14.520610913721459),14.520610913721459,49.151230188282405,74453273.43127525,344926296.8758152,67748.60218786681,419447318.90927833
port1107,Rorvik_Norway,NOR,POINT (11.282438287168452 64.8593690587258),64.8593690587258,11.282438287168452,71904289.43825096,75062805.20458661,0.0,146967094.64283758
